0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
-13719.6315568,-6037.56710352,-52.2812267721,19.9342966516,-2129.56008562,-3206.40073008,-2737.91962316,-376.187544535,574.095853496,3336.94269463,774.83814029,-811.398925186,767.734308566,2171.02701498,3341.94182268,1054.46432294,8143.19501698,6906.02738928,-1133.07757268,-3249.60261332,-249.899009779,-4774.20548035,1189.95377668,-8764.7743397,5721.32270156,-2942.30380209,-6097.16575648,785.891495874,overly_attached_girlfriend
-8442.8239801,-11507.9704432,5142.72290878,-7712.04469645,-6410.61451014,-1086.8523971,-2601.01427266,5981.40086561,-4967.6875963,-3297.93417864,3799.4054361,7626.55039708,-2489.63992117,-2457.65661421,-4555.88360521,-2226.6544377,-3042.49837256,-195.868173208,3580.99042381,1985.79545669,416.775787681,-775.129955423,-273.61263439,-2636.91057527,3505.81492516,1363.42125471,35.7201136804,-485.742955285,minor_mistake_marvin
-494.443842131,-6671.41710864,-3060.21236072,3232.40532614,-4020.57437031,125.992452824,-5083.9089127,2024.69283585,758.825406848,16.59139961,881.169816854,-236.007511755,-562.403344856,1822.24011285,-1096.96459325,-751.352381984,-4017.99448535,585.739078086,3560.06423967,3248.71601911,-1290.18991641,-1741.21747654,4512.40904917,1652.6960888,3112.05070536,1027.29506825,153.575090093,1892.89702078,evil_toddler
-4479.53400374,8593.94953628,-7049.50736847,1549.87585349,-5529.97167055,15115.0745343,-2377.15541059,1839.34326183,11647.9407978,-2780.3599739,2655.72814247,-389.182726644,-1920.84681731,716.409791306,-6686.4351251,-480.636007751,310.207986143,-2936.67192541,-2342.72698579,-531.85559804,5015.28918951,1192.5073102,-881.703743184,167.164032322,-890.505280591,5.41330868057,-3608.04991229,-187.721523794,business_cat
-11335.5204518,1739.71354285,-3348.53117517,-9383.6304742,9291.22600509,-9602.64181536,-7289.67572079,-8303.65183242,4770.41771307,-4041.59717683,10008.6351036,-5205.38455413,-3696.68375358,-171.338417561,3734.9623851,-2237.43254094,837.813677354,1348.95647243,-1685.70690351,1365.80904267,1027.11189681,1862.47925896,-1027.62546795,1390.45085701,1603.58751483,-1655.97160892,872.283735178,-1607.39393185,sheltered_college_freshman
2031.34542345,20805.9650645,-129.052904421,-716.809000714,50.7402196531,-905.633498174,2032.04228096,-6144.44807911,-5443.67150728,3364.90519557,-2833.58107389,-3509.22984499,-4310.73296321,6439.09921319,-4262.02727464,4000.0201531,-2893.58990902,1380.64781232,1339.71065831,480.258889635,-292.913306438,3734.15578165,-2516.57083221,5752.35163938,4608.2540244,-2584.78972543,-1918.56266414,1459.93421902,high_expectations_asian_father
-3793.93021052,11731.1070982,265.143435237,-2819.99610614,-2682.14040949,173.468033474,-2695.62289836,-1241.4858785,-2339.59621813,-4354.13639416,-9368.06833809,-4436.47946879,-222.590431967,-9468.98197404,-235.483491095,6318.33777279,-882.90884201,788.22836335,-1462.60209125,3338.49463878,5147.42643247,-3522.96851606,-1252.98353402,1069.00598262,2576.85354252,-61.8894931322,-1548.04626099,-1736.31487495,confession_bear
-14949.0433905,-1186.90034303,-5245.33143154,-3979.857274,10796.9196541,4758.45900877,4830.86461207,6971.71113234,-1906.46502393,9338.92646546,1159.48341238,-4575.3588113,4421.39808775,594.016086885,2990.08771772,852.840273122,-3165.90530206,-2476.8627182,32.4452977228,429.94363762,1940.34094298,-633.105312019,-708.263755734,-1953.7796846,-141.267549351,-964.495625511,386.088370177,1404.11333016,college_liberal
-11302.1620089,1560.59942457,-3459.30762687,-9625.50128298,9629.388756,-9670.51385766,-8011.60041168,-8492.09638482,4291.91581933,-4100.45059975,10597.6233244,-5589.05505225,-3536.41235293,-871.779632305,3763.38684217,-2083.37097311,1541.94312345,1469.05571125,-1457.32549719,1396.60967943,1444.99205148,2073.84107365,-887.76474345,1812.04464267,916.419865375,-1021.94464896,1230.13761685,-1920.50049653,sheltered_college_freshman
-11397.7045772,1544.53587064,-3204.21749293,-9072.79423228,9420.95836145,-9318.38142849,-8568.6478594,-8310.71782826,4440.58087092,-3664.16620952,9715.68111761,-6033.68888578,-3887.06621044,-563.433008525,3894.35129718,-1931.57582814,1675.76614193,1010.33831126,-1065.79317595,549.045975878,877.39783842,2473.35333978,-986.847105178,2076.62715521,1247.27744231,-367.493130459,1171.17538065,-1627.73138262,sheltered_college_freshman
-4203.30148324,6239.98893493,28865.4056058,12770.5624887,1813.91975989,191.548915753,-1504.32850011,5567.5228577,2023.84263439,-62.5105483317,1140.25010286,-1144.07313028,543.399249888,-782.205874369,1199.98297505,-3440.04102091,-1411.18340684,1501.11274669,-409.562301392,892.575168567,760.147174048,2419.33330366,698.994495792,-75.7836188676,1974.52639866,1195.75186099,-1871.02405636,-526.177405334,socially_awkward_penguin
15214.9072444,1153.66771096,-12861.1393529,6852.43334684,-8277.87228307,-17527.5760999,1375.38801836,14654.5495725,4946.58901081,677.712307077,1438.23536678,-4653.0797197,-3243.35902864,3167.10973887,-685.436256415,-437.508533407,-1313.76179906,73.5154314663,-4205.77160656,4116.0230483,2762.29521835,-3421.01069752,-481.139806066,1761.14450394,-4321.80609981,-3215.80622241,-735.442012949,2539.18731066,paranoid_parrot
32887.8362257,-5448.93380066,-1922.79934016,3567.31418547,7376.1907225,1230.6630628,-2008.8199649,-5259.8338606,-3256.88779441,-1402.89389639,-4049.35556048,-5047.8371244,6982.38483967,77.8308289637,-5998.28579491,-1360.6370694,945.452959444,2475.70893091,-3667.81680113,-677.620783725,-2520.46759958,3263.12951799,-1092.27851702,1497.33970306,-1404.30065332,733.80448832,-1978.50954739,-1581.5438735,bad_joke_eel
-20387.7658527,-15869.2430548,2934.31863873,-2898.56449188,-207.707581842,3219.14611603,-3377.85604279,2322.53753544,-4448.62847302,-6048.89745015,-1029.68386531,-1925.93792603,-872.231541368,2487.86673828,2138.58667127,-3761.49225507,4012.60095732,74.0985982799,-558.577498587,-2096.42531767,-408.132791781,1716.53875571,780.115823132,718.832842291,1268.67129932,-895.581622042,-656.732085113,5229.61586597,first_day_on_the_internet_kid
31210.8394821,-4485.28780468,-2958.54399159,3741.95310452,9124.80519,1049.19079594,-2035.77987489,-5349.99915775,-2012.20620932,-4313.09254538,-2574.67528242,-6657.41255542,6242.73010035,-758.136346643,-3666.34611217,-1104.26180937,-539.304460348,-1997.4067884,1827.13265434,-2944.80338431,-8141.63701232,2206.37488116,-418.802094475,1067.77949841,-635.552961592,-269.133659924,-2081.23289863,-1399.72831882,bad_joke_eel
1365.83241605,14082.4906219,7663.19230873,-6815.23818702,4721.14624221,-8817.42482323,3463.68337747,-2686.28160078,-231.601877395,2646.4879424,568.896345598,6140.44714252,-2153.16874056,-2133.87168644,-6156.70467311,2762.03376841,-477.406527393,-3690.37804993,-1414.51123238,-6459.13105652,2007.03731084,-1407.09398008,8304.33518448,-2585.45898961,1690.42161931,4521.21875121,-1413.71554247,-127.319099661,bad_luck_brian
10583.0586973,24979.99694,-859.413920142,797.686358281,-7645.64685577,940.075295835,1677.67249009,-8562.26150993,-8216.82909043,7997.99439849,1453.56898447,-1713.85799644,-4371.25139356,9582.70445363,-2861.7220709,-359.197866488,-2935.89784239,3349.43015359,405.719719586,3250.08840562,4128.51482181,2979.04366877,-390.121481929,1006.13863502,-978.157424009,-1373.95317144,1225.95731598,1139.8642159,high_expectations_asian_father
-2383.74688775,15444.2982577,2564.25448389,-8016.14945169,12975.7761809,-9047.68949637,3708.74619716,292.100259685,5234.7739351,-921.322895411,-4329.60492478,8566.14726843,1387.89479539,1593.83078591,-5923.88139796,1507.38672359,534.035942377,537.177812316,1432.37075622,2077.10649316,-1671.47784987,-299.985741275,-1167.59818219,2739.97663197,-2594.12785522,1726.43110337,-522.407445257,-442.536839548,bad_luck_brian
-14677.4694801,-1700.70717614,-5046.85163657,-4430.6751251,11146.8554546,4440.11078574,4432.46694231,6750.39719455,-1919.52938658,9734.62102906,541.447941892,-4458.11342747,4781.12178549,1104.21623358,2220.11643572,482.108150224,-3791.88659706,-1609.78346627,-1276.09150334,809.138805734,1432.32837264,1034.31381872,1630.27085249,706.500453137,-881.639568446,-259.369627649,-872.014355438,-236.202419664,college_liberal
2500.10352568,18629.9949333,2741.54864807,-1670.60762714,-4803.68817213,-318.498185501,4065.22280833,-6305.47928076,-7853.06769191,3228.46398307,-1313.78953869,-664.067623917,-5116.23936858,5546.96125176,-5040.62855016,3670.971983,-2766.94407747,4215.76930802,-322.867862579,3027.35158686,1033.10728435,4028.9887239,-1172.03100693,1875.51699621,4739.21067618,-4257.87881777,-901.092833967,-192.397834817,high_expectations_asian_father
-18472.8126897,-14821.3127244,982.323342817,1097.76254999,-144.928998611,3245.68585177,2137.06016119,3460.14040024,-1433.38371409,-993.59860089,1860.92744527,4028.40949266,1361.85638069,-2637.72914316,-6250.94233867,-2027.66504553,407.733067928,5005.36448017,-1510.5816273,-789.263602998,4157.99995327,559.633798532,463.093951093,683.822909,4413.58016592,1451.02147901,-64.2387770186,-6915.84457547,overly_attached_girlfriend
-19263.2886447,-11493.8102711,-7407.79826636,16017.8879456,1015.15772287,-2798.94552903,8195.31312599,-8634.91181253,2373.64313614,2829.50978644,-863.341094131,2948.83216837,-2481.17874336,-1556.17387254,188.447248925,-241.388074196,-3248.7195485,-639.226582155,-1151.51729185,1184.73422476,147.202470959,-2863.81893534,-507.831827982,-196.029759356,1207.88013739,-937.683860369,-679.31786179,-827.459731771,advice_god
-2778.64290967,11557.0188335,-24.2098579682,-1438.5743514,-3441.60397369,6386.24244608,2708.03618669,956.889362634,-7482.5591916,3129.49262195,1931.3909553,351.704027889,-2194.65410372,-5551.77860547,-388.237925816,-1460.6669344,8267.55738572,450.170558586,-5706.67582053,1908.11799912,-802.019066869,-909.913085858,-509.432052824,1555.14408281,-1799.9364737,3041.20133637,55.1217063856,1180.44496769,philosoraptor
-2145.1567495,10730.1279343,1406.61159273,-3249.20990553,-4612.87938547,282.61581039,-2841.46922392,-2263.45210289,-1619.76096476,-2819.76740601,-7974.83470797,-5192.49084267,236.6845574,-7099.35480995,-284.94315419,3890.62759224,-680.271642636,1194.46433953,-2897.10612216,-157.346720136,3499.62982852,34.0515729483,3292.31955079,2375.78947065,498.058708541,872.559044024,-3052.15167295,-4152.11308143,confession_bear
-18118.6639975,-11245.7233963,-291.438058401,-1435.71431773,465.179875065,2954.19780233,-1499.69313131,4643.55857129,-2974.41429897,-632.058076964,1417.98296364,-151.5064735,-1396.98362834,-1723.58092116,-5677.75621861,1519.99217594,-552.053477763,6321.55685034,7153.8735095,1062.7915522,-1910.43911668,1610.28503033,-603.383063299,-1330.88630226,-73.1510211426,3842.62215598,-1407.21371923,-3068.62310526,minor_mistake_marvin
-899.527553399,10636.445566,-191.300197063,-564.500113399,-3578.73577682,4723.53591224,1427.46713254,453.105532325,-4291.48169367,4173.08638315,2532.15810355,-2044.01018473,-2712.01159873,-1191.96150906,-186.81909772,-970.080949528,1000.12919459,670.926291669,-4636.94064724,1961.14293835,-2265.89576958,-1542.83368589,1247.88970024,1430.98605207,-689.036052274,2011.35838111,407.587344693,-804.777024842,philosoraptor
7958.29965441,21342.81935,2839.71208315,906.603432615,-7347.47432741,148.307531834,3295.75642431,-7666.50770169,-10024.1888487,5568.64295533,3097.66983391,-2628.33249222,-2750.73808088,5771.63923811,-3122.68833504,-1470.31702903,-705.432562589,1310.96754871,5464.75580134,-341.49851962,5965.68633039,-701.667449621,-2095.27881045,4678.07928861,-868.579147977,-1532.84851879,-2669.13436056,-786.30642216,high_expectations_asian_father
