a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
-2145.15681169,10730.050386,1406.29544855,-3253.32351957,-4613.52500867,286.692782608,-2851.84991429,-2259.67477889,-1602.14217681,-2779.33140172,-8085.62965651,-5085.57220712,confession_bear,330.839391204,-7057.37011465,-236.70010951,3917.48481638,-323.044877949,-51.6259882667,-2874.77788844,-1195.48697164,3075.24695749
-18118.655804,-11245.7638021,-291.928799719,-1437.78182797,466.065239542,2958.02371578,-1512.11787405,4635.22917999,-2973.12518653,-615.588296212,1432.7644528,-315.421494577,minor_mistake_marvin,-1397.61914962,-1607.67714992,-5603.79704299,1655.1901131,326.018799589,7624.29232495,5778.64704846,380.653888005,-1801.86050578
-899.524014525,10636.5023851,-190.757322169,-563.740059791,-3575.77667597,4723.68786218,1425.82454916,449.207901802,-4276.40060348,4181.59922636,2396.6199115,-2168.61665262,philosoraptor,-2670.38453219,-1237.09540891,-207.610049654,-977.992583054,914.801404715,-90.208669666,-4675.56741799,-1701.49349282,-3071.73151362
7958.30203991,21342.7959111,2839.75093924,904.988760594,-7348.83999966,150.189308223,3290.35288019,-7667.42351492,-10022.8621983,5582.38854546,3034.48417386,-2970.85054985,high_expectations_asian_father,-2693.71588914,5851.34628747,-3010.16393865,-1414.64101258,-120.622912473,1826.08116237,5123.14497406,-1361.44300495,5736.61660355
32787.2633698,-2320.63624249,-4695.74704611,6798.2191691,10015.0714453,5705.57621018,-3670.55839693,2090.95010046,-6237.19885877,-3589.30776303,4170.28260006,9266.29969997,unpopular_opinion_puffin,-3444.80513573,160.992586714,648.775403858,2817.2201729,2557.12659421,1436.71470618,-4481.56052429,-1683.16005929,6842.06180127
21062.664746,-9832.97677018,2343.40661373,97.5417686506,-2540.48096343,-1019.11928131,-3477.30972508,-4345.21574268,7431.7417813,12386.9173158,1854.16435106,-265.18134703,unpopular_opinion_puffin,-2961.05687538,2750.67578602,-458.196133652,942.744161359,756.24603122,-1490.283276,-5457.7425586,3209.29172768,-846.07714588
-11783.4300224,725.167323962,-2651.93194331,-9392.77846425,8471.72674457,-8241.57293252,-8171.03018605,-7005.13120544,3226.35094573,-4993.88774066,9988.20960786,-3359.12767494,sheltered_college_freshman,-3295.11180875,-2666.5534224,3871.74713136,-1456.93627561,1856.49253457,1593.76868791,-563.961109601,-2394.72950041,878.740688249
225.458358879,12736.5353933,-6239.71794749,-957.443305756,-4555.16800196,1922.53227096,-2885.06644726,-903.814963175,-1395.89191904,1234.2434122,-2619.45009651,5339.69175124,good_guy_greg,4293.54796811,-1342.38631724,6510.87297715,-5595.42987272,-3266.35077208,2662.90473651,85.1927730432,4399.3674812,3966.64673366
-14638.5888053,-1363.21928477,-5264.34086566,-3667.25721662,11125.0087416,4212.92353599,4257.59201378,6425.8862486,-1667.1764042,9049.90740136,746.468924671,-4566.5213815,college_liberal,4400.97777388,793.520946373,2684.13976195,448.09023678,-3015.0930653,-1772.79342484,97.2061489575,-786.617447022,441.946372654
-14815.5049789,-2289.4598192,-4910.417488,-4862.7053165,10852.1156885,4775.00182194,5782.57267547,7542.00885448,-2419.01149728,8428.56147027,1324.65656936,-3396.37037826,college_liberal,5399.68364473,386.810133169,2516.92479029,770.87111027,-3553.68809282,-1306.43237458,189.446864101,-1371.128761,521.431606353
24905.1105884,-3680.73204304,-3939.874439,4739.44089951,11792.8346847,9147.54702365,-3732.28831142,5320.66878251,-4057.16920554,-5066.76076513,3394.15862354,10610.1787774,unpopular_opinion_puffin,-8284.56594672,1001.73633199,6425.28906051,5917.55922469,-2220.98221754,-1913.13880152,4004.8044441,-4344.83191222,-3298.86112824
-14686.0584259,-765.894439133,-5226.03779293,-3936.90929661,11225.3128303,4550.74943861,4450.63565001,7074.78784571,-2210.46923814,9843.93357361,346.769720735,-5332.28429647,college_liberal,4434.07631135,788.718892843,2963.74432212,1288.95170807,-4175.4703895,-2279.35780576,58.9036847163,-663.337695919,2997.97171736
