0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
-1365.82921209,14082.5452223,7663.13228079,-6814.83727073,-4720.55602528,-8820.51231296,-3460.75963216,-2687.48067545,-229.449140148,-2632.58581843,-581.678902037,6153.39883994,-2158.82371513,-2120.26654211,6235.43690872,2730.16508049,-463.56843276,bad_luck_brian
-10583.0604902,24979.9735787,-859.435042604,797.522660073,7644.96586257,940.372924392,-1677.23974982,-8562.1415244,-8218.35818959,-8001.33986405,-1455.42681941,-1713.53256548,-4370.69722246,9586.82826669,2845.6391064,-351.204643877,-3006.41501344,high_expectations_asian_father
2383.74668533,15444.3156131,2564.32540789,-8015.90579561,-12974.6134301,-9048.3779492,-3708.71186394,290.500854099,5232.04165807,923.212984822,4317.03058096,8557.28292166,1388.50481855,1574.28013909,5950.78740457,1477.13682533,666.570537335,bad_luck_brian
14677.4691214,-1700.7124633,-5046.82704211,-4430.70603658,-11147.2682423,4439.98343883,-4432.17213486,6750.53111787,-1917.99762154,-9736.66653294,-540.809467784,-4457.71325791,4782.68641855,1107.51904244,-2220.81016815,483.633965719,-3771.47857363,college_liberal
-2500.10165905,18630.0004237,2741.62252684,-1670.86265592,4804.7214057,-317.748879984,-4067.41429324,-6302.74096033,-7857.21380319,-3225.4711599,1315.60411503,-668.370742084,-5127.17587041,5534.52370245,5035.68201001,3672.61536658,-2865.77779903,high_expectations_asian_father
18472.806856,-14821.3269923,982.489956297,1098.06855147,142.257418654,3241.78686653,-2139.51547228,3457.11275143,-1427.78890303,992.457191171,-1859.04462049,4027.12289066,1348.44261441,-2634.60951347,6288.21949546,-2139.06016103,486.737942258,overly_attached_girlfriend
19263.2890741,-11493.8085958,-7407.83982508,16017.8296019,-1016.22491634,-2798.81430924,-8194.4160617,-8632.37322186,2377.18493918,-2830.55423479,870.466338825,2959.27206248,-2476.92872895,-1533.48126626,-193.334478629,-210.624955036,-3271.85517434,advice_god
2778.64124301,11557.0109972,-24.1999753096,-1438.50867861,3441.68866525,6386.54799916,-2707.66691519,956.126904766,-7484.4304323,-3131.06444927,-1933.13486232,348.979547622,-2193.60534014,-5550.62091048,385.323346778,-1469.70224407,8200.52060964,philosoraptor
2145.15168163,10730.1079069,1406.69230034,-3249.35187546,4610.2252707,280.32278686,2840.23040859,-2267.32553386,-1611.79932906,2810.69463759,7976.03522659,-5198.3250321,229.018286852,-7079.87237586,275.951657629,3829.12604961,-583.419088196,confession_bear
18118.6625143,-11245.7344263,-291.421917585,-1435.99365596,-465.63056182,2955.34879923,1500.90563631,4643.21387365,-2974.11950931,622.729302392,-1415.31901627,-154.796648723,-1387.11469316,-1729.06940269,5654.69381874,1538.3889731,-381.163497192,minor_mistake_marvin
